Species,Straight_Carapace_Length_cm,Straight_Carapace_Width_cm,weight_kg
green,32.9,26.5,4.25
ridley,29.9,28,4.27
green,32.8,25.1,4.3
green,32.6,26.1,4.3
green,34.4,28,4.3
ridley,30.9,28.8,4.3
ridley,31.2,29.4,4.3
ridley,31.5,31,4.3
ridley,31.6,29.3,4.32
ridley,30.5,27.4,4.34
ridley,31.9,30.2,4.38
green,31.2,24.9,4.4
green,31.2,24.9,4.4
green,31.2,24.9,4.4
green,31.2,24.9,4.4
green,31.9,25,4.4
green,32.3,25.4,4.4
green,32.6,25.4,4.4
green,32.6,25.4,4.4
green,32.9,25.8,4.4
green,32.9,25.8,4.4
green,32.9,25.8,4.4
green,32.9,25.8,4.4
green,32.9,25.8,4.4
green,32.9,25.8,4.4
green,32.9,25.8,4.4
green,32.9,25.8,4.4
green,32.8,26,4.4
green,32.8,26,4.4
green,32.8,26,4.4
green,32.8,26,4.4
green,32.7,26.1,4.4
green,32.7,26.1,4.4
green,32.9,26.1,4.4
green,32.9,26.1,4.4
green,32.9,26.4,4.4
green,32.9,26.4,4.4
green,32.9,26.4,4.4
green,32.9,26.4,4.4
green,32.4,26.6,4.4
green,32.4,26.6,4.4
green,33.3,26.7,4.4
green,33.3,26.7,4.4
green,32.2,27,4.4
green,32.2,27,4.4
green,33,27.1,4.4
green,33,27.1,4.4
green,32.6,27.2,4.4
green,32.6,27.2,4.4
green,32.5,27.3,4.4
green,32.5,27.3,4.4
green,32.4,27.4,4.4
green,32.4,27.4,4.4
green,34,27.4,4.4
green,34,27.4,4.4
green,34.5,27.5,4.4
green,34.5,27.5,4.4
green,33.1,27.7,4.4
green,33.1,27.7,4.4
ridley,30.7,29.8,4.4
ridley,31.2,30.1,4.4
ridley,31.5,30.9,4.4
green,34.3,27.6,4.43
ridley,31.4,29.4,4.45
ridley,33.3,31.8,4.46
ridley,31.8,30.5,4.48
green,31.7,24.5,4.5
green,33.4,26.4,4.5
ridley,31,28.7,4.5
ridley,32.2,29.4,4.5
ridley,31.7,30.1,4.5
ridley,31.8,31.2,4.5
ridley,33.6,31.6,4.5
ridley,33,34.9,4.5
green,33.5,24.8,4.6
green,31.3,25.4,4.6
green,31.3,25.4,4.6
green,34.4,25.7,4.6
green,34.4,25.7,4.6
green,34.4,25.7,4.6
green,34.4,25.7,4.6
green,33.7,26.2,4.6
green,32.2,26.3,4.6
green,32.7,26.9,4.6
green,35.3,27.2,4.6
green,35.3,27.2,4.6
green,34.2,27.3,4.6
green,34.2,27.3,4.6
green,33.7,27.7,4.6
green,33.7,27.7,4.6
green,33.9,28.1,4.6
green,33.9,28.1,4.6
green,33.4,28.2,4.6
green,33.4,28.2,4.6
green,34.1,28.5,4.6
green,34.1,28.5,4.6
ridley,31,29,4.6
ridley,31,29.7,4.6
ridley,30.8,30.1,4.6
ridley,31.8,30.9,4.6
ridley,31.8,30.9,4.6
ridley,31.8,30.9,4.6
ridley,31.8,30.9,4.6
green,37.2,31.3,4.6
green,37.2,31.3,4.6
ridley,30.5,28.7,4.62
hawksbill,34.4,26.2,4.63
ridley,30.9,28.2,4.64
green,35.9,29.1,4.68
green,33,27.4,4.7
green,33,27.4,4.7
green,33,27.4,4.7
green,33,27.4,4.7
green,33.8,27.8,4.7
green,34.1,27.8,4.7
ridley,31.2,29.1,4.7
ridley,33,32.1,4.7
ridley,31,28.5,4.74
ridley,32.3,29.9,4.74
ridley,32.1,31.2,4.74
green,32.2,26,4.79
green,34.7,25.4,4.8
green,34.7,25.4,4.8
green,33.5,26.6,4.8
green,33.5,26.6,4.8
green,32.5,26.9,4.8
green,32.5,26.9,4.8
green,34.6,27,4.8
green,34.6,27,4.8
green,34.6,27,4.8
green,34.6,27,4.8
green,34.5,27.7,4.8
green,34.5,27.7,4.8
green,34.7,27.7,4.8
green,34.7,27.7,4.8
green,34.8,27.9,4.8
green,34.6,28.5,4.8
green,34.6,28.5,4.8
ridley,32.5,30.1,4.8
ridley,32.5,30.1,4.8
ridley,32.5,30.1,4.8
ridley,32.5,30.1,4.8
ridley,31.3,30.9,4.8
ridley,32.8,30.2,4.83
green,35.4,28.5,4.87
ridley,34.2,31.8,4.88
green,33.5,27.2,4.9
green,33.5,27.2,4.9
green,34.4,27.5,4.9
green,34.8,27.6,4.9
green,33.6,27.8,4.9
green,33.4,27.9,4.9
ridley,32.9,30.1,4.9
ridley,32.9,30.4,4.9
ridley,33.2,31.5,4.9
green,34.2,26.9,4.91
ridley,30.7,28.5,4.94
ridley,31.8,29.8,4.99
green,33.4,25.5,5
green,33.4,25.5,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.7,26.9,5
green,33.2,27.7,5
green,33.2,27.7,5
green,33.9,28.1,5
green,35.5,28.4,5
green,45.1,28.4,5
green,45.1,28.4,5
ridley,33.6,29.1,5
ridley,33.6,29.1,5
ridley,33.6,29.1,5
ridley,33.6,29.1,5
green,32.9,24.9,5.1
green,35.2,27.8,5.1
green,35.2,28.8,5.1
green,35.4,29.5,5.1
green,36.2,30,5.1
ridley,33.2,31.6,5.1
ridley,34.8,33.4,5.1
ridley,35.4,34.3,5.13
ridley,35,32.3,5.17
green,35.8,30.2,5.19
green,33.8,26.5,5.2
green,33.8,26.5,5.2
green,34.5,26.6,5.2
green,35.3,27.4,5.2
green,35.3,27.4,5.2
green,35.4,27.7,5.2
green,35.4,27.7,5.2
green,35.4,27.7,5.2
green,35.4,27.7,5.2
green,36,27.8,5.2
green,36,27.8,5.2
green,34,28,5.2
green,34,28,5.2
green,34,28,5.2
green,34,28,5.2
green,34,28,5.2
green,34,28,5.2
green,34.8,28,5.2
green,34.9,28.1,5.2
green,34.9,28.1,5.2
green,34.6,28.3,5.2
green,36.6,28.4,5.2
green,36.6,28.4,5.2
green,35.1,28.9,5.2
green,35.1,28.9,5.2
green,35.5,29.2,5.2
green,35.5,29.2,5.2
green,35.5,29.2,5.2
green,35.5,29.2,5.2
green,34,29.3,5.2
green,34,29.3,5.2
ridley,34.9,34,5.2
ridley,33.5,31.3,5.23
ridley,32.5,30.4,5.24
ridley,33.8,31.3,5.27
ridley,29.8,29.5,5.29
green,35.1,26.7,5.3
green,35.2,27.1,5.3
ridley,33.1,30.8,5.3
ridley,32,31.1,5.3
ridley,33.7,31.2,5.3
ridley,33.1,32.2,5.3
green,33.5,26.7,5.34
green,36.6,27.3,5.4
green,36.6,27.3,5.4
green,34.3,27.8,5.4
green,35.5,28.6,5.4
green,35.5,28.6,5.4
green,35.4,28.9,5.4
green,35.4,28.9,5.4
green,34.4,29.1,5.4
green,34.4,29.1,5.4
green,34.4,29.1,5.4
green,34.4,29.1,5.4
green,37,29.2,5.4
green,37,29.2,5.4
green,36.3,30.2,5.4
green,36.3,30.2,5.4
ridley,33.4,31.9,5.4
ridley,34.5,33.3,5.4
ridley,32.4,33.5,5.4
ridley,33.2,34,5.4
ridley,34.8,32.5,5.41
ridley,33.6,30.7,5.42
ridley,31.7,29.8,5.49
ridley,33.9,30.5,5.49
green,35,28.3,5.5
green,35.2,28.6,5.5
green,35.2,28.6,5.5
green,35.2,28.6,5.5
green,35.2,28.6,5.5
ridley,34,31.5,5.5
ridley,34.7,32.9,5.5
ridley,33.2,32.3,5.52
ridley,33.9,32.6,5.53
ridley,35.3,34.3,5.54
green,35,28.4,5.55
ridley,34.6,35.1,5.55
hawksbill,36.7,27,5.57
green,35.1,23.6,5.6
green,33.6,27.3,5.6
green,33.6,27.3,5.6
green,33.6,27.3,5.6
green,33.6,27.3,5.6
green,36,27.4,5.6
green,36,27.4,5.6
green,34.8,27.5,5.6
green,34.8,27.5,5.6
green,35.2,27.6,5.6
green,35.1,28.5,5.6
green,35.1,28.5,5.6
green,35.3,28.6,5.6
green,35.3,28.6,5.6
green,35.4,29,5.6
green,35.5,29,5.6
green,35.5,29,5.6
green,36.4,29.1,5.6
green,36.4,29.1,5.6
green,35.9,29.2,5.6
green,35.9,29.2,5.6
ridley,32.5,30.5,5.6
ridley,33.7,31.1,5.6
ridley,33.4,31.4,5.6
ridley,33.4,31.4,5.6
ridley,33.4,31.4,5.6
ridley,33.4,31.4,5.6
ridley,33.6,31.6,5.6
ridley,34,32,5.6
ridley,34.6,33.1,5.69
green,34.1,27.8,5.7
green,36,27.8,5.7
green,35.8,28.5,5.7
green,36.4,28.6,5.7
green,36.4,29.2,5.7
ridley,34.3,31.7,5.7
ridley,34.3,31.7,5.7
ridley,34.3,31.7,5.7
ridley,34.3,31.7,5.7
ridley,34.2,32.3,5.78
ridley,34,32.4,5.78
green,36.1,27.7,5.8
green,36.1,27.7,5.8
green,37.3,28.4,5.8
green,37.3,28.4,5.8
green,36,29,5.8
green,36,29,5.8
green,37.5,29.1,5.8
green,37.5,29.1,5.8
green,37.2,29.2,5.8
green,37.2,29.2,5.8
ridley,33.2,29.6,5.8
ridley,33.2,29.6,5.8
ridley,33.2,29.6,5.8
ridley,33.2,29.6,5.8
green,35.7,29.6,5.8
green,35.7,29.6,5.8
green,35.7,29.6,5.8
green,35.7,29.6,5.8
ridley,34.6,31.8,5.8
ridley,35.2,32.7,5.8
ridley,35.8,34.7,5.8
ridley,34.1,32.4,5.9
ridley,35,32.8,5.9
ridley,35.1,34.8,5.95
green,34.1,28.6,6
green,34.1,28.6,6
green,36.2,29.2,6
green,36.2,29.2,6
green,36.5,29.2,6
green,36.5,29.2,6
green,36.8,29.3,6
green,36.8,29.3,6
green,38.1,29.7,6
green,38.1,29.7,6
green,36.7,29.8,6
green,36.7,29.8,6
green,37.4,29.8,6
green,37.4,29.8,6
green,37,30.2,6
green,37,30.2,6
green,37.2,30.3,6
green,37.2,30.3,6
ridley,34.3,31.5,6
ridley,34,32.5,6
ridley,38.8,34,6
ridley,34.9,34.3,6
loggerhead,58.6,48.8,6
loggerhead,58.6,48.8,6
loggerhead,58.6,48.8,6
loggerhead,58.6,48.8,6
ridley,33.2,30.6,6.06
green,36.7,29.2,6.1
green,36.9,30.8,6.1
ridley,33.4,30.7,6.14
ridley,36.1,35.5,6.16
ridley,33.1,31.8,6.18
green,34.7,27.7,6.2
green,35.3,28.7,6.2
green,35.3,28.7,6.2
green,37.5,29.6,6.2
green,37.3,29.8,6.2
green,37.3,29.8,6.2
green,38,29.8,6.2
green,37,30.2,6.2
green,37,30.2,6.2
green,36.1,30.4,6.2
green,36.1,30.4,6.2
green,37.7,30.4,6.2
green,37.7,30.4,6.2
green,36.9,30.6,6.2
green,36.9,30.6,6.2
green,37.1,30.6,6.2
green,38,30.6,6.2
green,38,30.6,6.2
green,37.6,30.7,6.2
green,37.6,30.7,6.2
green,36.5,31,6.2
green,36.5,31,6.2
green,37.5,31.4,6.2
green,37.5,31.4,6.2
ridley,35.3,32.5,6.2
ridley,32.9,31.5,6.23
hawksbill,38.2,29,6.26
ridley,34.9,32.1,6.28
ridley,40.2,39.6,6.3
ridley,40.2,39.6,6.3
ridley,40.2,39.6,6.3
ridley,40.2,39.6,6.3
ridley,34,32.9,6.36
green,38.2,30.1,6.4
green,38.2,30.1,6.4
green,38.2,30.1,6.4
green,38.2,30.1,6.4
green,38.2,30.1,6.4
green,38.2,30.1,6.4
green,37.5,30.8,6.4
green,37.5,30.8,6.4
green,37.3,31.1,6.4
green,37.3,31.1,6.4
green,37.8,31.3,6.4
green,37.8,31.3,6.4
green,38.3,31.6,6.4
green,38.3,31.6,6.4
green,37.7,31.8,6.4
green,37.7,31.8,6.4
green,37.7,31.8,6.4
green,37.7,31.8,6.4
ridley,34.6,33.6,6.4
ridley,35.5,35.6,6.4
green,37.5,30,6.44
ridley,35.3,33.1,6.47
green,36.1,28,6.5
green,36.1,28,6.5
green,36.1,28,6.5
green,36.1,28,6.5
green,36.1,28,6.5
green,36.1,28,6.5
green,36.1,28,6.5
green,36.1,28,6.5
green,38.3,31.1,6.5
green,37.2,32,6.5
ridley,33.4,32.3,6.5
ridley,34.7,32.5,6.5
ridley,35.1,34.1,6.51
ridley,35.4,34.8,6.56
green,37.7,27,6.6
green,37.7,27,6.6
green,38.5,29.6,6.6
hawksbill,40.8,30.3,6.6
green,37.6,30.7,6.6
green,37.6,30.7,6.6
green,38.6,30.9,6.6
green,38.6,30.9,6.6
green,39,30.9,6.6
green,39,30.9,6.6
green,37.9,31.1,6.6
green,37.9,31.2,6.6
green,37.9,31.2,6.6
green,37.9,31.2,6.6
green,37.9,31.2,6.6
ridley,37,33.3,6.6
ridley,37,33.3,6.6
ridley,37,33.3,6.6
ridley,37,33.3,6.6
ridley,36.9,34.4,6.6
ridley,36.9,34.4,6.6
ridley,36.9,34.4,6.6
ridley,36.9,34.4,6.6
ridley,36.3,34.5,6.6
ridley,36.8,34.8,6.6
ridley,36.7,35.1,6.6
ridley,37.3,35.3,6.6
ridley,37.2,35,6.61
ridley,37.7,34.8,6.7
ridley,37.7,34.8,6.7
ridley,37.7,34.8,6.7
ridley,37.7,34.8,6.7
ridley,36.5,37.2,6.7
green,37.3,28.1,6.8
green,37.3,28.1,6.8
green,38,29.6,6.8
green,38,29.6,6.8
green,38.4,30.6,6.8
green,38.4,30.6,6.8
green,37.6,31,6.8
green,37.6,31,6.8
ridley,38.3,34.5,6.8
ridley,38.3,34.5,6.8
ridley,38.3,34.5,6.8
ridley,38.3,34.5,6.8
ridley,34.9,32.4,6.83
ridley,37.7,35.5,6.89
green,37.8,29.1,6.9
ridley,37.1,35.6,6.93
green,37.8,28.9,7
green,37.8,28.9,7
green,37.8,28.9,7
green,37.8,28.9,7
green,38.3,30.7,7
green,38.3,30.7,7
green,40.6,30.9,7
green,40.6,30.9,7
green,38.7,31,7
green,38.7,31,7
green,39.4,31.2,7
green,39.2,31.3,7
green,39.2,31.3,7
green,39.3,31.5,7
green,39.3,31.5,7
green,37.9,31.7,7
green,37.9,31.7,7
green,39.1,31.9,7
green,39.1,31.9,7
green,39.4,32,7
green,39.4,32,7
green,39.7,34.6,7
green,39.7,34.6,7
ridley,36.4,34.9,7
ridley,36.4,34.9,7
ridley,36.4,34.9,7
ridley,36.4,34.9,7
ridley,37,35,7
ridley,37,35,7
ridley,37,35,7
ridley,37,35,7
ridley,36.2,35.5,7
ridley,37.9,35.7,7
ridley,37.9,35.7,7
ridley,37.9,35.7,7
ridley,37.9,35.7,7
ridley,43.6,40.1,7
ridley,43.6,40.1,7
ridley,43.6,40.1,7
ridley,43.6,40.1,7
ridley,43.6,40.1,7
ridley,43.6,40.1,7
ridley,43.6,40.1,7
ridley,43.6,40.1,7
ridley,36.8,35.9,7.05
green,38.7,30.9,7.06
green,38.3,30.4,7.1
green,40.5,32.3,7.1
green,40.5,32.3,7.1
green,39,32.4,7.1
green,38,30.6,7.11
ridley,38.8,37.2,7.16
ridley,35.5,33.8,7.18
ridley,37.9,37.4,7.18
green,37.3,28.9,7.2
green,37.3,28.9,7.2
green,37.3,28.9,7.2
green,37.3,28.9,7.2
green,40.2,30.2,7.2
green,40.2,30.2,7.2
green,39.9,30.8,7.2
green,39.9,30.8,7.2
green,38.6,31.1,7.2
green,38.6,31.1,7.2
green,39.4,31.4,7.2
green,39.4,31.4,7.2
green,39.7,31.7,7.2
green,39.7,31.7,7.2
green,40.5,31.7,7.2
green,40.5,31.7,7.2
green,39.1,32.1,7.2
green,39.1,32.1,7.2
green,41,32.2,7.2
green,41,32.2,7.2
ridley,36.8,35,7.22
ridley,36.8,35,7.22
ridley,36.8,35,7.22
ridley,36.8,35,7.22
green,38.2,31.3,7.3
green,39.3,32.4,7.3
green,40.8,32.3,7.4
green,40.8,32.3,7.4
green,41.3,33.2,7.4
green,41.3,33.2,7.4
green,39,32,7.5
green,39,32,7.5
ridley,37.5,35.7,7.5
green,40.3,31.4,7.53
hawksbill,41.1,30.6,7.55
ridley,36.6,36.5,7.55
green,40,31.9,7.6
green,40,31.9,7.6
green,40.3,33,7.6
green,40.3,33,7.6
green,40.8,34,7.6
green,40.8,34,7.6
hawksbill,39.8,29,7.65
green,39.9,30.7,7.7
ridley,37.3,35,7.76
green,40.9,29.9,7.8
green,40.9,29.9,7.8
green,39.9,32.9,7.8
green,39.9,32.9,7.8
ridley,41.1,38.8,7.8
ridley,41.1,38.8,7.8
ridley,41.1,38.8,7.8
ridley,41.1,38.8,7.8
ridley,39.1,37.7,7.82
ridley,37.6,36.4,7.86
ridley,38.3,37.3,7.87
green,38.5,31,7.9
ridley,40,38.2,7.94
ridley,38.8,36.4,7.95
green,42.3,31.8,8
green,42.3,31.8,8
green,41.2,33.5,8
green,41.2,33.5,8
green,38.4,33.7,8
green,38.4,33.7,8
green,38.4,33.7,8
green,38.4,33.7,8
ridley,39.7,36.4,8
ridley,39.7,36.4,8
ridley,39.7,36.4,8
ridley,39.7,36.4,8
ridley,38.3,37.5,8.04
green,40.4,34.1,8.1
green,40.4,34.1,8.1
ridley,38.5,36.7,8.1
ridley,38.7,38.6,8.13
green,40.2,31.7,8.19
green,41.4,32.6,8.2
green,41.4,32.6,8.2
green,40.3,34.6,8.2
green,40.3,34.6,8.2
ridley,40.1,37.7,8.2
ridley,40.1,37.7,8.2
ridley,40.1,37.7,8.2
ridley,40.1,37.7,8.2
ridley,40.1,37.7,8.2
ridley,40.1,37.7,8.2
ridley,40.1,37.7,8.2
ridley,40.1,37.7,8.2
green,41.9,33.2,8.23
ridley,40,36.3,8.23
green,42,34.3,8.3
green,42,34.3,8.3
ridley,37.8,34.8,8.3
green,42.1,32.9,8.4
green,42.1,32.9,8.4
green,40.8,34.4,8.4
green,40.8,34.4,8.4
green,42.7,34.7,8.4
green,42.7,34.7,8.4
ridley,39,37.8,8.43
ridley,39.9,39.1,8.45
green,42.9,34.1,8.6
green,42.9,34.1,8.6
ridley,37.2,35.2,8.6
ridley,38.9,35.8,8.6
ridley,38.9,35.8,8.6
ridley,38.9,35.8,8.6
ridley,38.9,35.8,8.6
ridley,38.1,36.1,8.6
ridley,41.1,37.5,8.6
ridley,41.1,37.5,8.6
ridley,41.1,37.5,8.6
ridley,41.1,37.5,8.6
ridley,39,37.7,8.6
ridley,39.6,37.7,8.6
ridley,39.6,37.7,8.6
ridley,39.6,37.7,8.6
ridley,39.6,37.7,8.6
ridley,40.2,38.2,8.6
ridley,40.2,38.2,8.6
ridley,40.2,38.2,8.6
ridley,40.2,38.2,8.6
ridley,40,39.3,8.6
ridley,40.1,38.5,8.68
ridley,38.3,37.6,8.9
ridley,39.8,37.8,8.99
green,41.5,31.9,9
green,41.5,31.9,9
green,41.4,33.6,9
green,41.4,33.6,9
green,42.9,35.6,9
green,42.9,35.6,9
green,42.5,36.2,9
green,42.5,36.2,9
ridley,40,37.7,9
ridley,40,37.7,9
ridley,41,40.4,9
ridley,38.4,37,9.04
ridley,39.5,38.5,9.1
ridley,40.5,41.9,9.1
green,41.4,33.2,9.2
green,41.4,33.2,9.2
ridley,40.5,39.1,9.2
ridley,41.2,39.9,9.23
ridley,40.8,39.3,9.3
ridley,40.8,39.3,9.3
ridley,40.8,39.3,9.3
ridley,40.8,39.3,9.3
ridley,40.8,39.3,9.3
ridley,40.8,39.3,9.3
ridley,40.8,39.3,9.3
ridley,40.8,39.3,9.3
ridley,40,39.6,9.33
green,42,32.9,9.35
green,43.1,33.7,9.4
green,43.1,33.7,9.4
green,43.7,34.4,9.4
green,43.7,34.4,9.4
green,42.5,34.7,9.4
green,42.5,34.7,9.4
ridley,39.8,37.8,9.4
ridley,42.5,39.7,9.4
ridley,42.5,39.7,9.4
ridley,42.5,39.7,9.4
ridley,42.5,39.7,9.4
ridley,42.5,39.7,9.4
ridley,42.5,39.7,9.4
ridley,42.5,39.7,9.4
ridley,42.5,39.7,9.4
ridley,41.6,41.6,9.4
green,48.1,36.6,9.47
hawksbill,41.9,31,9.5
ridley,40.8,40.7,9.5
green,43,34,9.6
green,43,34,9.6
green,42,34.9,9.6
green,42,34.9,9.6
green,42.4,36,9.6
green,42.4,36,9.6
ridley,40.6,39.7,9.6
ridley,40.6,39.7,9.6
ridley,40.6,39.7,9.6
ridley,40.6,39.7,9.6
ridley,41.3,40.6,9.62
ridley,40.9,40,9.66
green,40.2,34.3,9.8
green,40.2,34.3,9.8
green,40.2,34.3,9.8
green,40.2,34.3,9.8
green,44.2,34.9,9.8
green,44.2,34.9,9.8
green,42.3,36.4,9.8
green,42.3,36.4,9.8
ridley,42.6,41.6,9.8
ridley,41.7,39.7,9.88
ridley,41.7,41.3,9.89
ridley,40.8,40.6,9.9
green,43.3,34.8,9.95
green,44.5,36.4,10
green,44.5,36.4,10
ridley,40.8,39,10
ridley,40.8,39,10
ridley,40.8,39,10
ridley,40.8,39,10
ridley,42.6,40.9,10
ridley,42.6,40.9,10
ridley,42.6,40.9,10
ridley,42.6,40.9,10
ridley,42,43.2,10
ridley,42,43.2,10
ridley,42,43.2,10
ridley,42,43.2,10
ridley,42,39.1,10.1
ridley,43.1,42.7,10.17
green,44.3,35.8,10.2
loggerhead,42.3,35.5,10.4
loggerhead,42.3,35.5,10.4
loggerhead,42.3,35.5,10.4
loggerhead,42.3,35.5,10.4
ridley,42,41.1,10.41
ridley,40.4,39,10.51
green,43.1,34.5,10.6
green,43.1,34.5,10.6
green,44.9,35.5,10.6
green,44.9,35.5,10.6
green,44.4,35.6,10.6
green,44.4,35.6,10.6
green,45.4,36.9,10.6
green,45.4,36.9,10.6
ridley,42.8,38.5,10.71
ridley,42.4,40.8,10.8
ridley,42.4,40.8,10.8
ridley,45.6,43.7,10.84
green,44.9,36.3,11
green,44.9,36.3,11
green,45.3,36.5,11
green,45.3,36.5,11
green,45.9,37.5,11
green,45.9,37.5,11
green,45.5,36.4,11.12
green,45.8,35,11.2
green,45.8,35,11.2
green,45.2,35.1,11.2
green,45.2,35.1,11.2
ridley,44.9,43.5,11.2
loggerhead,3.61,2.71,11.4
green,47.3,37.1,11.4
green,47.3,37.1,11.4
green,44.3,36,11.45
ridley,44.3,44.3,11.46
ridley,41.9,39.6,11.5
green,44.8,34.3,11.6
loggerhead,42.8,36.8,11.6
loggerhead,42.8,36.8,11.6
loggerhead,42.8,36.8,11.6
loggerhead,42.8,36.8,11.6
ridley,45.6,44.6,11.6
ridley,44.8,42.5,11.63
ridley,42.5,39.3,11.73
loggerhead,3.76,2.82,11.9
green,47,38.3,12
green,47,38.3,12
green,46.7,38.6,12
green,46.7,38.6,12
ridley,44.6,42.6,12
ridley,44.6,42.6,12
ridley,44.6,42.6,12
ridley,44.6,42.6,12
ridley,44.9,43,12
ridley,44.9,43,12
ridley,44.9,43,12
ridley,44.9,43,12
green,45.9,38.7,12.2
green,45.9,38.7,12.2
ridley,44.2,42.8,12.3
ridley,44.2,42.8,12.3
ridley,44.2,42.8,12.3
ridley,44.2,42.8,12.3
ridley,45.4,45.2,12.3
ridley,45.2,48,12.33
ridley,44.5,44,12.44
loggerhead,3.75,2.93,12.5
green,36.5,29.2,12.5
green,36.5,29.2,12.5
ridley,47.5,46.2,12.5
ridley,47,49,12.55
loggerhead,44.8,37.6,12.6
loggerhead,44.8,37.6,12.6
loggerhead,44.8,37.6,12.6
loggerhead,44.8,37.6,12.6
ridley,45.6,44.4,12.6
loggerhead,3.82,2.89,12.8
loggerhead,3.83,2.91,12.8
ridley,45.6,45.1,12.8
green,46.3,36,12.87
ridley,44.2,47.7,12.89
loggerhead,3.81,2.96,12.9
green,49.5,39.6,12.9
green,46.5,39.9,12.9
ridley,47.7,46.8,12.9
loggerhead,3.82,2.95,13
ridley,45.9,45.2,13.01
loggerhead,3.85,2.97,13.1
loggerhead,3.85,3.04,13.1
loggerhead,43.3,36.8,13.2
loggerhead,43.3,36.8,13.2
loggerhead,43.3,36.8,13.2
loggerhead,43.3,36.8,13.2
loggerhead,44.2,38.3,13.2
loggerhead,44.2,38.3,13.2
loggerhead,44.2,38.3,13.2
loggerhead,44.2,38.3,13.2
ridley,43.4,40.5,13.23
green,49.4,37.6,13.25
loggerhead,3.9,3,13.3
ridley,45.1,44.7,13.3
loggerhead,3.97,2,13.4
ridley,46,43.3,13.4
ridley,46,43.3,13.4
ridley,46,43.3,13.4
ridley,46,43.3,13.4
ridley,46.7,46.1,13.59
loggerhead,4.11,3.07,13.6
loggerhead,46.9,38.5,13.6
loggerhead,46.9,38.5,13.6
loggerhead,46.9,38.5,13.6
loggerhead,46.9,38.5,13.6
ridley,46.6,42.7,13.6
ridley,46.6,42.7,13.6
ridley,46.6,42.7,13.6
ridley,46.6,42.7,13.6
loggerhead,3.97,3.06,13.7
loggerhead,3.85,2.94,13.8
loggerhead,47.1,37.6,13.8
loggerhead,47.1,37.6,13.8
loggerhead,47.1,37.6,13.8
loggerhead,47.1,37.6,13.8
green,48.8,38.7,13.8
green,48.8,38.7,13.8
green,48.4,39.2,13.8
green,48.4,39.2,13.8
ridley,44.4,43.9,13.8
ridley,44.4,43.9,13.8
ridley,44.4,43.9,13.8
ridley,44.4,43.9,13.8
loggerhead,3.92,3.04,13.9
loggerhead,3.98,3.02,14
green,49.5,37.2,14
green,49.5,37.2,14
loggerhead,45.9,39.9,14
loggerhead,45.9,39.9,14
loggerhead,45.9,39.9,14
loggerhead,45.9,39.9,14
green,47.8,36.7,14.2
green,47.8,36.7,14.2
loggerhead,47.8,37.7,14.2
loggerhead,47.8,37.7,14.2
loggerhead,47.8,37.7,14.2
loggerhead,47.8,37.7,14.2
ridley,44.8,44.1,14.34
loggerhead,46.5,39.1,14.4
loggerhead,46.5,39.1,14.4
loggerhead,46.5,39.1,14.4
loggerhead,46.5,39.1,14.4
green,49.7,39.1,14.4
green,49.7,39.1,14.4
green,49.9,39.1,14.4
green,49.9,39.1,14.4
loggerhead,44.6,40.2,14.4
loggerhead,44.6,40.2,14.4
loggerhead,44.6,40.2,14.4
loggerhead,44.6,40.2,14.4
loggerhead,45.2,40.5,14.4
loggerhead,45.2,40.5,14.4
loggerhead,45.2,40.5,14.4
loggerhead,45.2,40.5,14.4
ridley,46.4,46.6,14.5
green,51.2,41,14.54
loggerhead,4.03,3.02,14.6
loggerhead,3.96,3.15,14.6
green,48.5,38.3,14.6
green,48.5,38.3,14.6
green,49.2,40,14.8
green,49.2,40,14.8
ridley,47.3,45.7,15
ridley,47.3,45.7,15
ridley,47.3,45.7,15
ridley,47.3,45.7,15
ridley,46.5,44,15.1
loggerhead,47.3,40.2,15.2
loggerhead,47.3,40.2,15.2
loggerhead,47.3,40.2,15.2
loggerhead,47.3,40.2,15.2
ridley,49.8,48.6,15.2
ridley,49.8,48.6,15.2
ridley,49.8,48.6,15.2
ridley,49.8,48.6,15.2
ridley,49.8,48.6,15.2
ridley,49.8,48.6,15.2
ridley,49.8,48.6,15.2
ridley,49.8,48.6,15.2
ridley,48.9,49.4,15.29
loggerhead,4,3.07,15.3
loggerhead,46.4,39.8,15.3
loggerhead,46.4,39.8,15.3
loggerhead,46.4,39.8,15.3
loggerhead,46.4,39.8,15.3
loggerhead,4.17,3.05,15.4
loggerhead,4.2,3.27,15.5
loggerhead,46.4,38.4,15.6
loggerhead,46.4,38.4,15.6
loggerhead,46.4,38.4,15.6
loggerhead,46.4,38.4,15.6
loggerhead,46.9,39.7,15.6
loggerhead,46.9,39.7,15.6
loggerhead,46.9,39.7,15.6
loggerhead,46.9,39.7,15.6
green,51.3,40.3,15.6
green,51.3,40.3,15.6
ridley,43.7,42.7,15.7
loggerhead,47.7,38.1,15.8
loggerhead,47.7,38.1,15.8
loggerhead,47.7,38.1,15.8
loggerhead,47.7,38.1,15.8
green,49.1,38.3,15.8
