Species,Straight_Carapace_Length_cm,Straight_Carapace_Width_cm,weight_kg
ridley,24.7,22.9,2.3
ridley,24.7,22.9,2.3
ridley,26.4,23.9,2.3
ridley,26.4,23.9,2.3
ridley,26.4,23.9,2.3
ridley,26.4,23.9,2.3
green,24,19.4,2.4
green,24,19.4,2.4
green,27.3,20.7,2.4
green,27.3,20.7,2.4
green,27.3,21.1,2.4
green,27.3,21.1,2.4
green,27.1,21.7,2.4
green,27.1,21.7,2.4
green,27.1,21.7,2.4
green,27.1,21.7,2.4
green,29,22,2.4
green,29,22,2.4
green,26.8,22.2,2.4
green,26.8,22.2,2.4
green,27.3,22.3,2.4
green,27.3,22.3,2.4
green,27.5,22.3,2.4
green,27.5,22.3,2.4
green,26.8,22.9,2.4
green,26.8,22.9,2.4
ridley,24.7,23.1,2.4
green,28.8,23.7,2.4
green,28.8,23.7,2.4
green,35,27.5,2.4
green,35,27.5,2.4
green,35,27.5,2.4
green,35,27.5,2.4
green,27.3,21.8,2.43
green,27.4,19.4,2.46
green,26.9,22.1,2.48
green,27.6,21.3,2.49
green,27.9,21.3,2.5
green,27.3,21.8,2.5
green,28.2,22.5,2.5
green,28.2,22.5,2.5
ridley,25,22.8,2.5
ridley,25,22.8,2.5
ridley,25,22.8,2.5
ridley,25,22.8,2.5
ridley,25.6,23.1,2.5
ridley,25.6,23.1,2.5
ridley,25.6,23.1,2.5
ridley,25.6,23.1,2.5
ridley,26.3,24.1,2.5
ridley,26.3,24.1,2.5
ridley,26.3,24.1,2.5
ridley,26.3,24.1,2.5
ridley,30.1,27.5,2.5
ridley,30.1,27.5,2.5
ridley,30.1,27.5,2.5
ridley,30.1,27.5,2.5
green,26.5,21.1,2.53
green,26.8,21.9,2.56
ridley,25.6,23.7,2.58
green,27.9,20.9,2.6
green,27.9,20.9,2.6
green,27.2,21.5,2.6
green,27.2,21.5,2.6
green,27.4,21.5,2.6
green,27.4,21.5,2.6
green,27.3,21.6,2.6
green,28,21.7,2.6
green,27.5,21.9,2.6
green,27.5,21.9,2.6
green,26.7,22,2.6
green,26.7,22,2.6
green,26.7,22,2.6
